movie_id,actor_id,actor_name,character,popularity
1173559,3633186,Steve Larkin,Dorian Tobin Ryan III,0.1499
1173559,3633195,Erik Skybak,Cameron,0.0432
1159559,9206,Neve Campbell,Sidney Evans,2.7741
1159559,14405,Courteney Cox,Gale Weathers,3.9665
1159559,1972974,Isabel May,Tatum Evans,4.4328
1159559,1508653,Jasmin Savoy Brown,Mindy Meeks-Martin,1.0566
1159559,2174509,Mason Gooding,Chad Meeks-Martin,1.7107
976912,1085939,David Wayman,Franklin,0.2418
976912,2667809,Sian Altman,Candida,0.3454
976912,3367977,May Kelly,Atlanta / Lucinda,0.5359
976912,3320644,Ocean M Harris,Brandon,0.108
976912,1865766,Valis Volkova,Cooper,0.1759
78192,82702,Michael Jackson,Self (archive footage),3.889
78192,2452786,David Gest,Self,0.0362
78192,992668,Tito Jackson,Self,0.4731
78192,1246357,Rebbie Jackson,Self,0.0843
78192,1137185,Katherine Jackson,Self,0.2368
1383731,63,Milla Jovovich,Nikki Halstead,8.9175
1383731,8654,Matthew Modine,Colonel Joseph Lavelle,3.9343
1383731,1485076,Isabel Myers,Chloe Halstead,0.8883
1383731,61962,D. B. Sweeney,Captain Michaels,1.4994
1383731,1280,Don Harvey,Sullivan,0.9944
278,504,Tim Robbins,Andy Dufresne,2.584
278,192,Morgan Freeman,Ellis Boyd 'Red' Redding,12.3885
278,4029,Bob Gunton,Warden Norton,2.3132
278,6573,William Sadler,Heywood,2.4593
278,6574,Clancy Brown,Captain Byron T. Hadley,4.5094
1207162,1442711,Christian Mortensen,Timur,1.2475
1207162,1386458,Mahesh Jadu,Hussayn,0.6691
1207162,3555968,Joshua Jo,Ilias,0.1698
1207162,173810,Sayed Badreya,Kay Khusrau,0.6777
1207162,2858892,Yulduz Rajabova,Aljai,0.8007
848116,1108120,Alia Bhatt,Rani Chatterji,1.5831
848116,224223,Ranveer Singh,Rocky Randhawa,2.1443
848116,35743,Jaya Bachchan,Dhanlakshmi Randhawa,0.7514
848116,85672,Shabana Azmi,Jamini Chatterji,1.4754
848116,85655,Dharmendra,Kanwal Lund,0.9122
184314,1167459,Marine Vacth,Isabelle,1.1096
184314,19888,Géraldine Pailhas,Sylvie,0.6119
184314,44079,Charlotte Rampling,Alice,2.0812
184314,9005,Frédéric Pierrot,Patrick,0.4938
184314,6019,Nathalie Richard,Véro,0.6359
24428,3223,Robert Downey Jr.,Tony Stark / Iron Man,5.8986
24428,16828,Chris Evans,Steve Rogers / Captain America,9.0455
24428,103,Mark Ruffalo,Bruce Banner / The Hulk,4.287
24428,74568,Chris Hemsworth,Thor,10.7456
24428,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,17.0771
458293,1819793,Navi,Michael Jackson,0.472
458293,124645,Chad L. Coleman,Bill Whitfield,1.7421
458293,1772766,Sam Adegoke,Javon Beard,0.3497
458293,1819795,Aidan Hanlon Smith,Prince Jackson,0.0775
458293,1819796,Taegen Burns,Paris Jackson,0.3512
1265609,64295,Alan Ritchson,81,6.5573
1265609,6065,Dennis Quaid,Army Sgt Maj Sheridan,4.9629
1265609,1388314,Stephan James,7,0.6654
1265609,224181,Jai Courtney,Class President,3.1375
1265609,65344,Esai Morales,Army Officer Torres,2.4855
1177445,3637238,April Consalo,Ash,0.0825
1177445,4268128,Nate Wise,Mark,0.0143
1177445,2075492,Clay von Carlowitz,Maverick,0.0831
1177445,3665137,Randall Bowlin,Swamp Man,0.0143
1177445,2212125,Benjamin Frankenberg,Ocella Server,0.103
502356,73457,Chris Pratt,Mario (voice),6.9273
502356,1397778,Anya Taylor-Joy,Princess Peach (voice),12.1127
502356,95101,Charlie Day,Luigi (voice),2.0271
502356,70851,Jack Black,Bowser (voice),5.6394
502356,298410,Keegan-Michael Key,Toad (voice),4.4254
1084577,13240,Mark Wahlberg,Brad,8.2262
1084577,1294982,Paul Walter Hauser,Elijah,2.7421
1084577,6730,Sacha Baron Cohen,Pavio Curto,4.9732
1084577,4589,Benjamin Bratt,Santos,3.799
1084577,91588,Luciano Szafir,Cristos,0.2403
299536,3223,Robert Downey Jr.,Tony Stark / Iron Man,5.6742
299536,16828,Chris Evans,Steve Rogers / Captain America,6.7683
299536,74568,Chris Hemsworth,Thor,8.5559
299536,16851,Josh Brolin,Thanos,4.9443
299536,103,Mark Ruffalo,Bruce Banner / Hulk,4.1247
1317448,1376137,Matilde Gioli,Elisa,1.2451
1317448,1634155,Cristiano Caccamo,Michele,2.2844
1317448,2595107,Amanda Campana,Giada,1.576
1317448,2762412,Sebastiano Pigazzi,Carlo,1.0305
1317448,27322,Cecilia Dazzi,,0.4156
441168,109783,Haley Pullos,Miriam Weeks,1.3096
441168,1723911,Sasha Clements,Jolie,0.4027
441168,21624,Judd Nelson,Don,1.3326
441168,1210485,Alyson Bath,Dora,0.4189
441168,1772357,Jacky Lai,Amy,0.5535
1641319,228371,Chad Michael Collins,Brandon Beckett,1.5403
1641319,77164,Ryan Robbins,Zero,1.6165
1641319,1994213,Manuel Rodriguez-Saenz,Nova,0.2675
1641319,1180979,Josh Brener,Intel Pete,1.2898
1641319,13022,Tom Berenger,Thomas Beckett,2.0757
744275,1753914,Josephine Langford,Tessa Young,3.5075
744275,1114487,Hero Fiennes Tiffin,Hardin Scott,2.72
744275,86653,Carter Jenkins,Robert Freeman,0.918
744275,20805,Louise Lombard,Trish Daniels,1.5743
744275,2035329,Chance Perdomo,Landon Gibson,0.5233
603,6384,Keanu Reeves,Neo,9.763
603,2975,Laurence Fishburne,Morpheus,6.0922
603,530,Carrie-Anne Moss,Trinity,2.6011
603,1331,Hugo Weaving,Agent Smith,2.2778
603,9364,Gloria Foster,Oracle,1.3046
1601797,947296,Ludwika Paleta,Lucía,2.2873
1601797,2723354,Juanpa Zurita,Javier,0.7103
1601797,1592680,Harold Azuara,La Avispa,0.5099
1601797,1328903,Yuriria del Valle,Maguis,0.2991
1601797,966638,Moisés Arizmendi,Tío Gustavo,0.441
1316092,234352,Margot Robbie,Cathy,11.1454
1316092,2034418,Jacob Elordi,Heathcliff,10.9329
1316092,1360317,Hong Chau,Nelly,1.7303
1316092,2981449,Alison Oliver,Isabella,1.0316
1316092,1370832,Shazad Latif,Edgar,1.625
1352874,2843103,Hannaj Bang Bendz,Sara,0.1588
1352874,1524860,Dean Kilbey,Mungo,0.1529
1352874,1759040,Nicholas Anscombe,Father Stewart,0.0832
1352874,1128296,Tom Carter,Doctor Byrne,0.1266
1352874,2822929,Darren Le Fevre,Thorvald Ironside,0.0486
1368337,1892,Matt Damon,Odysseus,13.8877
1368337,1136406,Tom Holland,Telemachus,8.4762
1368337,1813,Anne Hathaway,Penelope,21.8986
1368337,11288,Robert Pattinson,Antinous,7.0974
1368337,1267329,Lupita Nyong'o,,5.8506
1110034,1904884,Sara Khorami,Johanne,4.0781
1110034,234783,Mikkel Bratt Silset,Erik,0.4891
1110034,1475929,Ingvild Holthe Bygdnes,Henriette,0.3063
1110034,2302835,Øyvind Brandtzæg,Avaldsnes,0.1711
1110034,3573975,Jenny Evensen,Maria,0.3227
238,3084,Marlon Brando,Don Vito Corleone,2.4582
238,1158,Al Pacino,Michael Corleone,5.9093
238,3085,James Caan,Sonny Corleone,2.824
238,3087,Robert Duvall,Tom Hagen,3.2913
238,3086,Richard S. Castellano,Clemenza,0.9729
27205,6193,Leonardo DiCaprio,Dom Cobb,10.1943
27205,24045,Joseph Gordon-Levitt,Arthur,4.7883
27205,3899,Ken Watanabe,Saito,2.5372
27205,2524,Tom Hardy,Eames,9.7451
27205,27578,Elliot Page,Ariadne,7.4121
1010581,2527414,Nicole Wallace,Noah Morán,4.2441
1010581,2786960,Gabriel Guevara,Nick Leister,5.712
1010581,970027,Marta Hazas,Rafaella Leister,1.0997
1010581,1251336,Iván Sánchez,William Leister,0.6368
1010581,4105602,Eva Ruiz,Jenna,0.5755
1534530,5643967,Ana Clara Guanco,Lucía,0.1015
1534530,2480553,Marcelo Michinaux,Adrián,0.1608
1534530,79291,Luciano Cáceres,Víctor,0.2323
911430,287,Brad Pitt,Sonny Hayes,12.6292
911430,1837297,Damson Idris,Joshua Pearce,5.8932
911430,3810,Javier Bardem,Ruben Cervantes,5.2463
911430,62105,Kerry Condon,Kate McKenna,3.1001
911430,10920,Tobias Menzies,Peter Banning,3.0751
1688652,21042,Ebon Moss-Bachrach,Richard 'Richie' Jerimovich,3.5749
1688652,19498,Jon Bernthal,Michael Berzatto,8.2564
1688652,164094,Marin Ireland,Sherri,2.4918
1688652,94098,Gillian Jacobs,Tiffany Jerimovich,2.0973
1688652,5060575,Nation Sage Henrikson,Cowboy,0.2293
609681,60073,Brie Larson,Carol Danvers / Captain Marvel,4.2665
609681,970219,Teyonah Parris,Monica Rambeau,0.8635
609681,2798462,Iman Vellani,Kamala Khan / Ms. Marvel,1.5219
609681,2231,Samuel L. Jackson,Nick Fury,8.3661
609681,118034,Zawe Ashton,Dar-Benn,0.9558
425274,44735,Jesse Eisenberg,J. Daniel Atlas,3.3635
425274,3918497,Dominic Sessa,Bosco,1.5064
425274,1767250,Ariana Greenblatt,June,4.0924
425274,1029934,Justice Smith,Charlie,2.1727
425274,10882,Rosamund Pike,Veronika Vanderberg,6.2897
1196067,63,Milla Jovovich,Mom,10.4678
1196067,114019,Luke Evans,Dad,3.3165
1196067,2667928,Billie Boullet,Willa,10.9735
1196067,956385,Meadow Williams,Soldier #1,0.6205
1196067,3214361,Mila Harris,Rosie,0.4903
122,109,Elijah Wood,Frodo,4.6
122,1327,Ian McKellen,Gandalf,3.7943
122,110,Viggo Mortensen,Aragorn,5.8348
122,1328,Sean Astin,Sam,3.8383
122,1333,Andy Serkis,Gollum / Smeagol,3.631
1336770,4746537,Hashir,Hashir,13.2341
1336770,4887222,Alan Bin Siraj,Alan,1.7834
1336770,4314419,Ajin Joy,Ajin,0.9552
1336770,4887229,Vinayak V,Vinayak,0.1659
1336770,1171340,Alphonse Puthren,DYSP Xavier Alexander,0.5005
155,3894,Christian Bale,Bruce Wayne,5.7755
155,1810,Heath Ledger,Joker,3.4051
155,6383,Aaron Eckhart,Harvey Dent,2.8668
155,3895,Michael Caine,Alfred,2.9838
155,1579,Maggie Gyllenhaal,Rachel,3.4416
278986,1296866,Priyanka Bose,Gangor,1.301
278986,6501,Tillotama Shome,Medha,0.9223
278986,227849,Adil Hussain,Upin,0.9965
278986,113693,Samrat Chakrabarti,Ujan,0.3171
278986,113684,Seema Rahmani,Shital,0.3082
1038392,17178,Patrick Wilson,Ed Warren,2.7183
1038392,21657,Vera Farmiga,Lorraine Warren,3.1889
1038392,3011652,Mia Tomlinson,Judy Warren,1.6357
1038392,1452045,Ben Hardy,Tony Spera,1.9816
1038392,1355139,Rebecca Calder,Janet Smurl,0.8491
82023,592925,Saralisa Volm,Antonia,0.7532
82023,213596,Clemens Schick,Julius Pass,0.761
82023,17545,Jan-Gregor Kremp,Marcel,0.3517
82023,1081,Herbert Knaup,Hotel Manager,0.5294
82023,1191238,Palina Rojinski,Julia,1.169
1470130,1223171,Willa Holland,Rebecca Owens,2.4788
1470130,167564,Paul Sparks,Raymond Delver,0.9931
1470130,1391986,John Adams,,0.2907
1470130,1052211,Mark Steger,The Mimic,0.6357
1470130,1922891,Shelly Gibson,Grandma,0.1148
