movie_id,title,release_date,rating,popularity,vote_count,language
425274,Now You See Me: Now You Don't,2025-11-12,6.514,34.8491,1465,en
1292662,Slaughterhouse On The Hill,2024-05-03,5.889,32.3388,9,en
80175,Entre sábanas,2008-04-04,4.7,43.5867,13,es
1266992,Balinsasayaw,2024-05-17,6.833,38.0438,6,tl
803796,KPop Demon Hunters,2025-06-20,8.019,38.1917,2724,en
1304313,Lee Cronin's The Mummy,2026-04-15,6.7,34.8973,194,en
1084187,Pretty Lethal,2026-03-13,6.731,36.2353,346,en
238,The Godfather,1972-03-14,8.686,39.5886,22866,en
27205,Inception,2010-07-15,8.372,38.0562,39157,en
10693,Peter Pan,1953-02-05,7.189,35.2149,5729,en
1115544,Mike & Nick & Nick & Alice,2026-03-14,6.783,33.6009,309,en
